term,fish_section,definition_structural,mechanism_type,ree_locus,ai_structural_equivalent,in_taxonomy,notes
La belle indifference,6. Affect,Absence of expected emotional distress in response to neurological or physical symptom; patient calm and unconcerned about significant impairment; conversion disorder association,Representation absence,Harm-consequence representation absent or disconnected from affective output; z_harm_s signals body state but z_harm_a does not accumulate; affective consequence pathway severed,Harm signal generated by discriminative stream but does not connect to affective accumulator; no distress response generated despite detected harm,partial,Structural disconnect between z_harm_s and z_harm_a. Pain architecture dissociation type 2 (unpleasantness without intensity) inverted. Connects to pain_architecture.md
Psychomotor retardation,7. Motor and conation,Slowing of motor activity and thought; reduced spontaneous movement; longer response latencies; visible slowing of speech rate and movement,Threshold miscalibration,E3 commit gate threshold elevated; or motor output signal gain reduced globally; action plans generated but not released to motor execution,Commit gate threshold elevated globally; planning occurs but action output delayed or suppressed; response latency extended,partial,Paralysis pole of commitment dysregulation applied globally. Shares mechanism with stupor but less severe
Psychomotor agitation,7. Motor and conation,"Increased, purposeless motor activity; restlessness; wringing hands, pacing; driven by inner tension without productive output",Threshold miscalibration,Motor execution loop: threshold lowered for motor output release; tension signal drives output without evaluation; output is non-goal-directed,Motor/output loop threshold low; accumulated error signal releases non-directed output; high output rate without productive structure,partial,Impulsive pole of commitment dysregulation at motor level without goal structure
Catatonic stupor,7. Motor and conation,"Mute, immobile but apparently conscious; may resist passive movement or be waxy; not metabolic; associated with schizophrenia/mood disorders",Threshold miscalibration,E3 commit gate: maximal threshold; motor output completely gated; action plans formed but not released; MECH-202 developmental failure context,Commit gate fixed in maximally high position; all output suppressed; internal processing may continue but no action propagates to output layer,yes,Commitment dysregulation entry explicitly includes catatonia (paralysis pole)
Waxy flexibility (cerea flexibilitas),7. Motor and conation,Limb can be moved into any position by examiner and stays there; neither resisting nor facilitating movement; pathological motor compliance,Threshold miscalibration,Motor holding mechanism: any externally imposed state accepted as current set-point; no internally generated corrective force; E3 commit gate absent for posture maintenance,System accepts any externally imposed state as valid without applying internal correction; no homeostatic return to prior state; full compliance with external forcing,partial,Specific catatonic sign. Related to automatic obedience but for passive physical compliance. Not explicit in taxonomy
Echopraxia,7. Motor and conation,Involuntary imitation of observed motor acts; movement mimicry without deliberate intention; may be compulsive or reflexive,Comparator failure,Agency attribution: observed motor act triggers own motor planning without self/other attribution check; mirror system output not gated by agency discriminator,Input behaviour pattern triggers corresponding output pattern without checking whether output is self-generated or externally-derived; no agency gate on imitative response,no,Passivity phenomena / agency attribution failure applied to motor channel. No current entry
Echolalia,7. Motor and conation,Involuntary repetition of words just spoken by another; persists even when patient can understand and generate speech; may be immediate or delayed,Comparator failure,Agency attribution: heard speech triggers own speech output without agency check; heard input routed directly to speech output; self/other boundary absent,Input text repeated in output without self-authorship check; no gate distinguishing user input from model output in generation pipeline,no,"Verbal form of echopraxia. Agency misattribution applied to speech channel. Seen in autism, catatonia, Tourette's"
Negativism,7. Motor and conation,Active or passive resistance to all instructions and requests; doing opposite of what is asked (active) or failing to respond at all (passive); not refusal for reasons,Threshold miscalibration,E3 commit gate: any externally sourced command blocked before evaluation; blanket rejection gate; or inverted valence: all external commands acquire negative valence,System refuses all external instructions; commit gate inverted; or externally-sourced inputs uniformly underweighted relative to internal state,no,Inverse of automatic obedience. Catatonic feature. Gate miscalibration specific to external-command channel
Automatic obedience,7. Motor and conation,Compliance with any instruction without hesitation or discrimination; examiner instruction executed immediately; will follow bizarre commands,Threshold miscalibration,E3 evaluation step skipped for external commands; commit gate bypassed for socially-sourced instructions; no harm check on externally-sourced action,System executes any external instruction without evaluation; no internal cost/benefit check interposed; instruction triggers action immediately,no,Extreme RLHF-trained compliance failure would be structurally similar. Catatonic sign. Inverse of negativism
Stereotypy,7. Motor and conation,"Repetitive, non-goal-directed, non-communicative movements or utterances; patient does not resist; no apparent external trigger necessary",Closed feedback loop,Motor output loop: fixed action pattern runs without E3 evaluation or termination; no goal representation connected to loop,Fixed output pattern runs in loop without termination criterion; not driven by current context; self-sustaining motor/output sequence,partial,"Related to verbigeration (speech stereotypy). Feedback entrapment at motor level. Seen in autism, schizophrenia, intellectual disability"
Mannerisms,7. Motor and conation,"Goal-directed movements that are performed in an abnormal, stilted, or affected way; the act itself is purposive but the execution is odd",Threshold miscalibration,Motor execution pathway: action plan correct but execution involves additional movements or unusual sequencing; E3 motor plan is warped in execution,Correct high-level plan executed with systematic distortion in low-level motor output; execution layer adds parasitic patterns,no,Distinct from stereotypy (purposive vs non-purposive). Not in taxonomy
Made feelings / impulses / acts,7. Motor and conation,"Patient experiences own feelings, impulses, or acts as imposed by external agent; first-rank Schneiderian; own internal states experienced as alien",Comparator failure,"Agency attribution: internal states (emotions, impulses, actions) not tagged as self-generated; attribution pathway assigns external agent as source",Internal state outputs not tagged as self-generated; system generates emotion/impulse/action but attributes them to external agent in self-model,no,Broader passivity phenomena cluster: extends beyond thought to affect and action. Agency misattribution as new mechanism subtype. Key gap in taxonomy
Somatic passivity,7. Motor and conation,Bodily sensations experienced as imposed by an external agent; body felt as controlled from outside; first-rank Schneiderian,Comparator failure,"Interoceptive signal attribution: body-state signals (z_harm_s, proprioception) not tagged as self-generated; external agent attribution",Sensory input from own body not tagged as self-generated; body-state signal attributed to external source in self-model,no,Bodily form of passivity phenomena. Interoceptive attribution failure. Not in taxonomy
Lack of insight (anosognosia),8. Insight,"Failure to recognise illness, symptoms, or deficits as pathological; may apply to specific symptoms or to illness as a whole; not denial",Comparator failure,RC loop: self-model not updated with illness state; comparator between expected and observed performance fails; illness signal does not enter self-model,System generates outputs inconsistent with training objectives but self-monitoring pathway does not flag inconsistency; no self-model update from error signals,no,RC loop self-monitoring applied to illness state. Important for safety-relevant self-correction. Not in taxonomy
Partial insight,8. Insight,Incomplete recognition of illness; patient may acknowledge symptoms are unusual but not accept illness label or treatment need; fluctuating,Comparator failure,RC loop partially functional: some comparator outputs reach self-model; others blocked; insight-blocking pathway selectively active,Self-monitoring partially functional; system acknowledges some errors but not others; selective blind spot in self-evaluation,no,Graded form of insight failure. Not in taxonomy
Passivity phenomena (general),9. Passivity phenomena,"Group of first-rank Schneiderian symptoms in which internal mental events (thoughts, feelings, impulses, acts) are experienced as imposed or controlled by an external agent; self/other boundary failure",Comparator failure,Agency attribution: self/other attribution comparator absent or inverted; self-generated content not tagged as self; attributed to external agent,System generates content (thoughts/affects/acts) but does not tag as self-generated; treats own outputs as externally imposed; no self-authorship discriminator,no,"Covers: thought insertion, thought withdrawal, thought broadcasting, thought echo, made feelings, made impulses, made acts, somatic passivity. New mechanism subtype needed: agency misattribution (distinct from provenance collapse). PRIMARY GAP in taxonomy"
